0.0000,-0.0000,0.0000,0.1594,0.0238,-0.2962
0.0109,0.0000,0.0000,0.1594,0.0238,-0.2962
0.2124,0.0000,0.0619,0.1538,0.0713,-0.2955
0.3356,0.0000,0.1975,0.1575,0.0713,-0.2944
0.4395,-0.0000,0.3943,0.1662,0.0713,-0.2932
0.5542,-0.0000,0.6489,0.1863,0.0714,-0.2877
0.6239,-0.0000,0.7246,0.2009,0.1190,-0.2812
0.6827,-0.0000,0.8149,0.2239,0.1190,-0.2740
0.7477,-0.0000,0.8269,0.2517,0.1667,-0.2612
0.7872,-0.0000,0.7829,0.2754,0.1667,-0.2525
0.8204,-0.0000,0.6133,0.2966,0.1667,-0.2413
0.8572,-0.0000,0.4703,0.3124,0.2145,-0.2287
0.8795,-0.0000,0.3779,0.3190,0.2623,-0.2178
0.8984,-0.0000,0.2994,0.3287,0.2623,-0.2088
0.9192,-0.0000,0.1556,0.3325,0.3102,-0.1948
0.9318,-0.0000,0.0458,0.3350,0.3102,-0.1851
0.9425,0.0000,-0.0452,0.3293,0.3582,-0.1764
0.9543,0.0000,-0.1292,0.3197,0.4062,-0.1642
0.9614,-0.0000,-0.1433,0.3157,0.4062,-0.1568
0.9674,-0.0000,-0.2325,0.3048,0.4543,-0.1482
0.9741,-0.0000,-0.2387,0.2955,0.4544,-0.1378
0.9782,-0.0000,-0.3034,0.2836,0.5025,-0.1323
0.9816,-0.0000,-0.3222,0.2695,0.5507,-0.1241
0.9853,-0.0000,-0.2439,0.2593,0.5507,-0.1154
0.9876,-0.0000,-0.3066,0.2475,0.5990,-0.1116
0.9896,0.0000,-0.3251,0.2337,0.6473,-0.1037
0.9917,0.0000,-0.2455,0.2234,0.6474,-0.0964
0.9930,-0.0000,-0.2335,0.2123,0.6957,-0.0940
0.9941,-0.0000,-0.2440,0.2015,0.7442,-0.0863
0.9953,0.0000,-0.2443,0.1920,0.7442,-0.0799
0.9960,-0.0000,-0.2340,0.1812,0.7927,-0.0788
0.9967,0.0000,-0.2446,0.1708,0.8412,-0.0717
0.9973,0.0000,-0.2448,0.1612,0.8413,-0.0664
0.9978,-0.0000,-0.2344,0.1508,0.8899,-0.0664
0.9981,-0.0000,-0.1702,0.1410,0.9385,-0.0602
0.9985,0.0000,-0.1398,0.1349,0.9386,-0.0553
0.9987,-0.0000,-0.1494,0.1279,0.9873,-0.0557
0.9989,0.0000,-0.1652,0.1193,1.0360,-0.0503
0.9991,-0.0000,-0.1396,0.1109,1.0847,-0.0457
0.9993,-0.0000,-0.1494,0.1067,1.0848,-0.0468
0.9994,0.0000,-0.1389,0.1000,1.1336,-0.0424
0.9995,-0.0000,-0.1389,0.0922,1.1824,-0.0380
0.9996,-0.0000,-0.1493,0.0880,1.1825,-0.0394
0.9997,0.0000,-0.1389,0.0818,1.2314,-0.0366
0.9997,0.0000,-0.1389,0.0743,1.2803,-0.0322
0.9998,0.0000,-0.0480,0.0720,1.2804,-0.0335
0.9998,-0.0000,-0.0539,0.0691,1.3293,-0.0322
0.9998,0.0000,-0.0533,0.0659,1.3782,-0.0267
0.9999,0.0000,-0.0803,0.0642,1.3783,-0.0274
0.9999,0.0000,-0.0575,0.0605,1.4273,-0.0286
0.9999,-0.0000,-0.0433,0.0575,1.4763,-0.0224
0.9999,-0.0000,-0.0533,0.0562,1.4764,-0.0223
0.9999,0.0000,-0.0428,0.0539,1.5254,-0.0261
1.0000,0.0000,-0.0428,0.0514,1.5744,-0.0189
1.0000,0.0000,-0.0533,0.0501,1.5745,-0.0175
1.0000,0.0000,-0.0428,0.0482,1.6235,-0.0248
1.0000,-0.0000,-0.0428,0.0461,1.6726,-0.0167
1.0000,-0.0000,-0.0533,0.0447,1.6726,-0.0132
1.0000,0.0000,-0.1177,0.0429,1.7217,-0.0245
1.0000,0.0000,-0.0733,0.0379,1.7708,-0.0161
1.0000,-0.0000,-0.0554,0.0363,1.7708,-0.0100
1.0000,0.0000,-0.0431,0.0350,1.8199,-0.0253
1.0000,-0.0000,-0.0429,0.0336,1.8690,-0.0164
1.0000,0.0000,-0.0268,0.0339,1.8690,-0.0065
1.0000,0.0000,-0.1160,0.0330,1.9181,-0.0235
1.0000,-0.0000,-0.0732,0.0284,1.9672,-0.0173
1.0000,-0.0000,0.0460,0.0287,1.9672,-0.0037
1.0000,-0.0000,0.0420,0.0307,2.0163,-0.0213
1.0000,-0.0000,-0.0671,0.0285,2.0653,-0.0188
1.0000,0.0000,0.0467,0.0288,2.0654,-0.0004
1.0000,0.0000,0.0421,0.0309,2.1144,0.0194
1.0000,0.0000,-0.1419,0.0284,2.1634,0.0207
1.0000,-0.0000,-0.2394,0.0227,2.2124,0.0024
1.0000,-0.0000,-0.2343,0.0155,2.2124,0.0175
1.0000,0.0000,-0.1516,0.0094,2.2614,0.0225
1.0000,-0.0000,-0.2406,0.0036,2.3104,0.0035
1.0000,0.0000,-0.2345,-0.0036,2.3104,-0.0155
1.0000,-0.0000,-0.0503,-0.0078,2.3593,-0.0245
1.0000,-0.0000,0.1954,-0.0054,2.4082,-0.0060
1.0000,-0.0000,0.2308,0.0013,2.4083,-0.0134
1.0000,-0.0000,0.0500,0.0065,2.4572,-0.0222
1.0000,-0.0000,0.0541,0.0084,2.5060,0.0078
1.0000,-0.0000,0.0695,0.0116,2.5060,0.0111
1.0000,-0.0000,-0.1410,0.0094,2.5548,0.0199
1.0000,-0.0000,-0.1379,0.0055,2.6036,0.0102
1.0000,-0.0000,-0.1492,0.0013,2.6036,0.0086
1.0000,-0.0000,-0.0745,-0.0038,2.6523,-0.0173
1.0000,-0.0000,0.0193,-0.0048,2.7010,-0.0127
1.0000,-0.0000,0.1415,-0.0017,2.7011,-0.0060
1.0000,0.0000,0.0739,0.0042,2.7497,0.0146
1.0000,-0.0000,-0.0194,0.0060,2.7982,0.0154
1.0000,-0.0000,-0.1416,0.0029,2.7983,0.0033
1.0000,0.0000,-0.0740,-0.0022,2.8469,-0.0118
1.0000,-0.0000,0.0194,-0.0034,2.8954,-0.0182
1.0000,0.0000,0.1416,-0.0004,2.8955,-0.0006
1.0000,0.0000,0.0740,0.0051,2.9440,0.0090
1.0000,-0.0000,-0.0194,0.0064,2.9926,0.0210
1.0000,0.0000,-0.1151,0.0047,3.0412,0.0026
