# ##time, x, y, yaw, vel, speed_cmd, steer_cmd, s, lap
1.900000000000000000e+01,7.193569859156310198e-01,-5.175357063281737363e-02,-6.990106052632594213e-02,1.864105985485744688e+00,2.000000000000000000e+00,7.109056413173675537e-02,7.549509756796393134e-01,0.000000000000000000e+00
2.000000000000000000e+01,7.754983060677540507e-01,-5.443851211979732624e-02,-5.990890554058569961e-02,1.882584106592944506e+00,2.000000000000000000e+00,6.591792404651641846e-02,7.549509756796393134e-01,0.000000000000000000e+00
2.100000000000000000e+01,8.321931773728594717e-01,-5.618070371738691920e-02,-4.727919767357757763e-02,1.898549674363098516e+00,2.000000000000000000e+00,5.616806074976921082e-02,7.549509756796393134e-01,0.000000000000000000e+00
2.200000000000000000e+01,8.893525285778104417e-01,-5.714776673994699518e-02,-3.452227134855689883e-02,1.912344331987896995e+00,2.000000000000000000e+00,4.452735930681228638e-02,1.004950975679639313e+00,0.000000000000000000e+00
2.300000000000000000e+01,9.469019636641323734e-01,-5.777987318911018827e-02,-2.515877423422896442e-02,1.924263267895778506e+00,2.000000000000000000e+00,3.488671034574508667e-02,1.004950975679639313e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.004786969122064999e+00,-5.803908521353242506e-02,-1.670171509277551536e-02,1.934561532415284280e+00,2.000000000000000000e+00,2.698820084333419800e-02,1.004950975679639313e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.062959930091420757e+00,-5.790960063642297539e-02,-8.877486475417306622e-03,1.943459495533248482e+00,2.000000000000000000e+00,1.882874965667724609e-02,1.004950975679639313e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.121381363285458566e+00,-5.777352307065585640e-02,-4.712942574795597750e-03,1.951147562537032698e+00,2.000000000000000000e+00,1.223649550229310989e-02,1.254950975679639313e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.180017236479005360e+00,-5.757584271999623832e-02,-1.572692598340807990e-03,1.957790248449648107e+00,2.000000000000000000e+00,1.008208654820919037e-02,1.254950975679639313e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.238838099542106219e+00,-5.727363332860076900e-02,1.163560151288293423e-03,1.963529698445588778e+00,2.000000000000000000e+00,6.926309317350387573e-03,1.254950975679639313e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.297818165284190473e+00,-5.681360364052238238e-02,4.024933958265230691e-03,1.968488729579868979e+00,2.000000000000000000e+00,3.893169574439525604e-03,1.254950975679639313e+00,0.000000000000000000e+00
3.000000000000000000e+01,1.356935393212284513e+00,-5.621131202641079655e-02,6.708954794855762419e-03,1.972773458919466538e+00,2.000000000000000000e+00,5.430146702565252781e-04,1.254950975679639313e+00,0.000000000000000000e+00
3.100000000000000000e+01,1.416170211001001933e+00,-5.543469699167653114e-02,9.566369269618143698e-03,1.976475574315899042e+00,2.000000000000000000e+00,-2.783439820632338524e-03,1.504950975679639313e+00,0.000000000000000000e+00
3.200000000000000000e+01,1.475506623296681807e+00,-5.453324254150123535e-02,1.196615255109526911e-02,1.979674296410627976e+00,2.000000000000000000e+00,-6.454179063439369202e-03,1.504950975679639313e+00,0.000000000000000000e+00
3.300000000000000000e+01,1.534935959100663938e+00,-5.391987418283587102e-02,1.066117927586315156e-02,1.982438073857750727e+00,2.000000000000000000e+00,-7.163634523749351501e-03,1.504950975679639313e+00,0.000000000000000000e+00
3.400000000000000000e+01,1.594444533783375695e+00,-5.355517999748025254e-02,8.286938278606116245e-03,1.984826048039631363e+00,2.000000000000000000e+00,-5.304399412125349045e-03,1.504950975679639313e+00,0.000000000000000000e+00
3.500000000000000000e+01,1.654020711386800846e+00,-5.340563930074542637e-02,5.487446902401886713e-03,1.986889318618550782e+00,2.000000000000000000e+00,-2.996938070282340050e-03,1.759901951359278627e+00,0.000000000000000000e+00
3.600000000000000000e+01,1.713654676007801525e+00,-5.342315775192050392e-02,2.801532115805516893e-03,1.988672037005598803e+00,2.000000000000000000e+00,6.091996328905224800e-04,1.759901951359278627e+00,0.000000000000000000e+00
3.700000000000000000e+01,1.773338064263200398e+00,-5.362663989167881784e-02,-7.237598112297405351e-05,1.990212351145677738e+00,2.000000000000000000e+00,2.539803506806492805e-03,1.759901951359278627e+00,0.000000000000000000e+00
3.800000000000000000e+01,1.833064675343401673e+00,-5.369381197414747203e-02,-5.494192096477945597e-05,1.991543221835835764e+00,2.000000000000000000e+00,4.049357958137989044e-03,1.759901951359278627e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.892828025521946955e+00,-5.344512182824628921e-02,2.281634886458890066e-03,1.992693128045117446e+00,2.000000000000000000e+00,-2.083698660135269165e-02,2.009901951359278627e+00,0.000000000000000000e+00
4.000000000000000000e+01,1.952622501092251772e+00,-5.301963297995447577e-02,4.584267483477519681e-03,1.993686676328901175e+00,2.000000000000000000e+00,-1.211154647171497345e-02,2.009901951359278627e+00,0.000000000000000000e+00
4.100000000000000000e+01,2.012445973804432686e+00,-5.286216972330388258e-02,3.247538755781578714e-03,1.994545127378423155e+00,2.000000000000000000e+00,-6.025032489560544491e-04,2.009901951359278627e+00,0.000000000000000000e+00
4.200000000000000000e+01,2.072293592486278424e+00,-5.294582930183213548e-02,8.497638439885045339e-04,1.995286850972991521e+00,2.000000000000000000e+00,1.342984940856695175e-02,2.009901951359278627e+00,0.000000000000000000e+00
4.300000000000000000e+01,2.132161248840426904e+00,-5.324259325806463689e-02,-1.969195016382485619e-03,1.995927719070299755e+00,2.000000000000000000e+00,2.787645347416400909e-02,2.259901951359278627e+00,0.000000000000000000e+00
4.400000000000000000e+01,2.192047207912164453e+00,-5.341397266001346456e-02,-1.938920379473074718e-03,1.996481445446479652e+00,2.000000000000000000e+00,5.458671599626541138e-02,2.259901951359278627e+00,0.000000000000000000e+00
4.500000000000000000e+01,2.212012839551086518e+00,-5.338976457584806989e-02,-1.198344834075548704e-03,1.996648752715499464e+00,2.000000000000000000e+00,5.278819426894187927e-02,2.259901951359278627e+00,0.000000000000000000e+00
4.600000000000000000e+01,2.311857624218036644e+00,-5.241405028344023331e-02,7.502320418371992254e-03,1.997373258075407110e+00,2.000000000000000000e+00,4.690527170896530151e-02,2.259901951359278627e+00,0.000000000000000000e+00
