0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.799999743700027466e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.509999999999999411e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.901999999999999871e-02,0.000000000000000000e+00,-9.799999743700027466e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.793591727940717945e-03,-6.507270285994078115e-07,-4.481825180757681437e-04,2.883827712874779681e-01,0.000000000000000000e+00,-9.756233543157577515e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.701163913714624776e-02,-2.821503035004274069e-05,-4.295179328046572209e-03,5.211190735769498650e-01,0.000000000000000000e+00,-9.378326684236526489e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.570663281728434640e-02,-8.635731979288665140e-04,-9.313136493632967472e-03,7.222091727932496985e-01,0.000000000000000000e+00,-8.806770294904708862e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.999161360038011981e-02,-2.323667557597398556e-03,-1.598628590453898823e-02,8.959561456764332243e-01,0.000000000000000000e+00,-8.011959493160247803e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,8.911998538807711090e-02,-4.045624751738939595e-03,-2.282562086252326594e-02,1.046077960244729876e+00,0.000000000000000000e+00,-7.174683362245559692e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.224234161302362872e-01,-6.152786917488163934e-03,-3.032149266832728784e-02,1.175787035662292590e+00,0.000000000000000000e+00,-6.234860792756080627e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.593237381690591481e-01,-8.741055040525020151e-03,-3.876281038268114543e-02,1.287858983993457995e+00,0.000000000000000000e+00,-5.154701694846153259e-02,2.549509756796392579e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.993418813495143049e-01,-1.159343743915491366e-02,-4.575419467287744624e-02,1.384692004831125534e+00,0.000000000000000000e+00,-4.189980030059814453e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.000000000000000000e+01,2.420565690642187406e-01,-1.463572676378459628e-02,-5.180006324993513545e-02,1.468358203770049775e+00,0.000000000000000000e+00,-3.298863023519515991e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.100000000000000000e+01,2.870872679060127997e-01,-1.803085184941278368e-02,-5.811793924968000624e-02,1.540647932876225479e+00,0.000000000000000000e+00,-2.346217073500156403e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.200000000000000000e+01,3.341138755134125393e-01,-2.178945516344523575e-02,-6.425247795956323671e-02,1.603108101982976263e+00,0.000000000000000000e+00,-1.375680882483720779e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.300000000000000000e+01,3.828882252696707567e-01,-2.556484895922188014e-02,-6.750744681165166128e-02,1.657075280627593017e+00,0.000000000000000000e+00,-2.884803339838981628e-02,5.049509756796393134e-01,0.000000000000000000e+00
